X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,Y
3215,206,8,127,14,5588,215,248,168,1057,T1,T29,1
3022,18,7,0,0,3012,215,226,148,1476,T1,T23,1
3008,18,19,382,92,4715,201,197,127,3616,T1,T29,1
2595,296,24,85,28,1252,144,224,216,780,T3,T33,6
3261,87,4,42,-2,3719,226,233,142,3784,T1,T38,7
3006,88,9,134,26,1643,234,226,124,1920,T1,T30,2
2562,319,29,295,132,722,134,200,200,1138,T3,T33,2
3118,86,10,175,16,5255,234,224,120,1999,T1,T29,1
3096,253,10,242,29,5725,198,247,187,2151,T1,T22,2
2956,297,21,201,45,5728,157,228,210,1168,T1,T29,2
2808,117,8,474,20,902,234,233,131,1299,T3,T11,1
2850,1,16,90,29,2376,194,207,148,2708,T1,T29,1
2434,324,29,330,175,510,135,196,193,577,T4,T10,3
3336,108,5,446,122,1549,228,234,141,2821,T1,T29,1
2815,104,11,150,17,741,239,226,117,573,T1,T23,2
2893,315,28,162,92,4747,136,205,203,4897,T1,T29,1
2709,135,2,255,0,2018,222,238,151,4264,T1,T12,2
2982,316,22,470,251,2844,155,215,197,437,T3,T33,2
2517,101,7,60,5,234,233,230,130,1666,T4,T6,6
3308,44,17,408,74,1620,221,200,107,2250,T1,T39,1
2319,344,21,182,95,228,173,203,165,1128,T4,T10,3
2624,69,22,216,87,418,237,191,74,1549,T3,T10,3
3079,113,19,150,34,3142,249,217,88,2661,T1,T29,1
2588,30,24,180,40,297,205,181,101,1409,T3,T10,6
2940,19,16,324,-22,1421,207,204,131,1687,T1,T29,1
3058,2,6,30,2,4267,212,229,154,2347,T1,T23,2
2970,79,15,67,8,1950,239,211,99,2561,T3,T23,1
2605,45,7,30,-1,636,222,225,138,1556,T1,T20,2
3274,96,19,497,156,4280,247,209,84,1176,T1,T29,2
3207,175,12,216,22,2962,226,246,151,1074,T3,T32,2
3147,206,21,170,53,3153,202,254,179,1044,T3,T33,1
3103,162,4,418,26,2624,223,240,152,1909,T3,T32,1
2882,77,14,42,5,1830,237,212,103,1440,T3,T31,1
2972,23,10,268,27,765,214,219,140,1940,T1,T29,2
2399,319,18,67,8,860,172,221,188,1006,T4,T10,6
2885,45,23,488,103,1182,219,184,89,2162,T3,T33,2
2996,94,7,218,34,1549,232,229,130,1945,T1,T22,2
3326,175,12,1106,210,2564,226,246,151,2132,T3,T31,7
3272,15,15,787,121,2376,206,209,138,2233,T3,T38,7
2715,32,10,30,-2,1465,218,218,134,2280,T1,T12,2
2988,93,5,67,12,4962,228,232,138,1240,T1,T29,2
3136,340,13,511,61,1784,192,221,167,2663,T3,T32,1
2695,153,8,124,11,1045,230,241,143,518,T3,T2,3
3076,45,4,495,-25,2681,221,230,145,853,T3,T23,1
3091,43,11,42,0,2750,222,215,126,3111,T3,T31,2
3227,164,6,362,25,2656,226,242,150,1221,T3,T31,2
2971,54,6,201,26,4052,224,227,138,1954,T1,T23,2
3278,235,19,212,57,2052,185,253,201,3328,T1,T29,1
3113,349,20,309,59,3900,179,202,158,641,T3,T24,1
3205,69,15,503,63,2931,235,208,100,4311,T1,T39,1
3111,107,21,127,24,3996,250,211,79,2123,T1,T29,1
2613,32,14,150,5,1939,216,210,126,2132,T3,T10,6
2838,60,20,330,90,437,231,194,87,1411,T1,T30,5
3168,134,32,510,91,1075,250,208,60,2263,T1,T29,1
2663,58,13,551,26,824,229,211,113,1144,T3,T11,3
2619,101,13,67,8,1814,242,222,108,732,T3,T11,2
3034,54,14,30,10,1234,228,208,111,1382,T3,T23,2
3066,149,17,127,-32,849,240,237,121,1476,T1,T22,1
3243,45,5,170,3,2688,221,229,144,1031,T1,T22,1
2921,6,14,595,56,3007,201,212,146,3515,T1,T12,2
2952,292,13,108,9,2510,182,237,195,755,T3,T22,2
3232,39,17,240,4,2641,218,199,111,1350,T3,T24,1
3164,106,16,408,237,1902,245,219,98,2877,T3,T33,1
2891,173,17,67,22,3192,228,246,144,2831,T1,T29,2
